记录时间: 2025-04-11 15:51:08

当前运行的应用程序:
PID: 4408, 名称: WmiPrvSE.exe, 用户: NT AUTHORITY\SYSTEM
PID: 4456, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 4488, 名称: Clash for Windows.exe, 用户: PC-20240921UCSH\Administrator
PID: 4492, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 4588, 名称: RtkAudioService64.exe, 用户: NT AUTHORITY\SYSTEM
PID: 4652, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 4684, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 4708, 名称: UniAccessAgent.exe, 用户: None
PID: 4820, 名称: 极空间.exe, 用户: PC-20240921UCSH\Administrator
PID: 4876, 名称: wlanext.exe, 用户: NT AUTHORITY\SYSTEM
PID: 4912, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 5008, 名称: XWin_MobaX.exe, 用户: PC-20240921UCSH\Administrator
PID: 5044, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 5240, 名称: spoolsv.exe, 用户: NT AUTHORITY\SYSTEM
PID: 5272, 名称: Clash for Windows.exe, 用户: PC-20240921UCSH\Administrator
PID: 5344, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 5388, 名称: svchost.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 5428, 名称: UniAccessAgentDaemon.exe, 用户: None
PID: 5588, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 5616, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
PID: 5796, 名称: zotero.exe, 用户: PC-20240921UCSH\Administrator
PID: 5812, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
PID: 5824, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 5852, 名称: WmiPrvSE.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 6336, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 6344, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6376, 名称: ipfsvc.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 6388, 名称: aTrustAgent.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6396, 名称: eaio_service.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6412, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6424, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 6428, 名称: OneApp.IGCC.WinService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6440, 名称: jhi_service.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6448, 名称: ipf_uf.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6456, 名称: LNBITSSvc.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6480, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6496, 名称: LenovoUtilityService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6592, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6608, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 6640, 名称: WMIRegistrationService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 6656, 名称: clash-win64.exe, 用户: PC-20240921UCSH\Administrator
PID: 6668, 名称: vECAgent.exe, 用户: PC-20240921UCSH\Administrator
PID: 6672, 名称: svchost.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 6732, 名称: cmd.exe, 用户: PC-20240921UCSH\Administrator
PID: 6832, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 7012, 名称: SangforPromoteService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7020, 名称: SangforUsbService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7036, 名称: SystemSettingsBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 7040, 名称: IntelAudioService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7048, 名称: SunloginClient.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7060, 名称: SangforPromoteService.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7076, 名称: SangforPWEx.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7088, 名称: Clash for Windows.exe, 用户: PC-20240921UCSH\Administrator
PID: 7116, 名称: ToDesk.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7184, 名称: DLPExtend.exe, 用户: None
PID: 7400, 名称: 极空间.exe, 用户: PC-20240921UCSH\Administrator
PID: 7560, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 7620, 名称: python.exe, 用户: PC-20240921UCSH\Administrator
PID: 7768, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 7828, 名称: ApplicationFrameHost.exe, 用户: PC-20240921UCSH\Administrator
PID: 8120, 名称: lenovodrvsrv.exe, 用户: NT AUTHORITY\SYSTEM
PID: 8204, 名称: WeChatAppEx.exe, 用户: PC-20240921UCSH\Administrator
PID: 8416, 名称: ms-teams.exe, 用户: PC-20240921UCSH\Administrator
PID: 8432, 名称: AcutaDBCore.exe, 用户: None
PID: 8484, 名称: aTrustTray.exe, 用户: PC-20240921UCSH\Administrator
PID: 8632, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 8692, 名称: conhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 8724, 名称: unsecapp.exe, 用户: NT AUTHORITY\SYSTEM
PID: 8800, 名称: aTrustTray.exe, 用户: PC-20240921UCSH\Administrator
PID: 9004, 名称: SunloginClient.exe, 用户: NT AUTHORITY\SYSTEM
PID: 9092, 名称: svchost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 9144, 名称: sunlogin_guard.exe, 用户: NT AUTHORITY\SYSTEM
PID: 9200, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 9348, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 9500, 名称: TextInputHost.exe, 用户: PC-20240921UCSH\Administrator
PID: 9528, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 9620, 名称: svchost.exe, 用户: NT AUTHORITY\LOCAL SERVICE
PID: 9624, 名称: conhost.exe, 用户: NT AUTHORITY\SYSTEM
PID: 9636, 名称: perl.exe, 用户: PC-20240921UCSH\Administrator
PID: 9700, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 9892, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10020, 名称: DLPOCR.exe, 用户: None
PID: 10024, 名称: Locator.exe, 用户: NT AUTHORITY\NETWORK SERVICE
PID: 10208, 名称: RuntimeBroker.exe, 用户: PC-20240921UCSH\Administrator
PID: 10220, 名称: Code.exe, 用户: PC-20240921UCSH\Administrator
PID: 10236, 名称: dllhost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10264, 名称: svchost.exe, 用户: PC-20240921UCSH\Administrator
PID: 10368, 名称: chrome.exe, 用户: PC-20240921UCSH\Administrator
